Plant Name,Generator ID,Status,Fuel,Prime Mover,NP Capacity MW,ISO,State,County,Start Date,End Date,Currently
Cottonwood Bayou Solar,CTW,Planned,Solar,PV,350,ERCO,TX,Brazoria,2/1/2025 0:00,,"(TS) Construction complete, but not yet in commercial operation"
WPWP,WPWP,Planned,Wind,WT,307.2,SWPP,KS,Sumner,2/1/2025 0:00,,"(V) Under construction, more than 50 percent complete"
Rexford Solar Farm,20SD8,Planned,Solar,PV,300,CISO,CA,Tulare,2/1/2025 0:00,,"(V) Under construction, more than 50 percent complete"
Rexford Solar Farm,20SDB,Planned,Battery,BA,240,CISO,CA,Tulare,2/1/2025 0:00,,"(V) Under construction, more than 50 percent complete"
"Blue Jay Solar I, LLC",BLUJS,Planned,Solar,PV,210,ERCO,TX,Grimes,2/1/2025 0:00,,"(TS) Construction complete, but not yet in commercial operation"
"Estonian Solar Project, LLC",SOLAR,Planned,Solar,PV,204.5,ERCO,TX,Delta,2/1/2025 0:00,,"(TS) Construction complete, but not yet in commercial operation"
Samson Solar Energy II LLC,GEN1,Planned,Solar,PV,200,ERCO,TX,Lamar,2/1/2025 0:00,,"(V) Under construction, more than 50 percent complete"
"Long Lake Solar, LLC",LLS,Planned,Solar,PV,200,MISO,AR,Phillips,2/1/2025 0:00,,"(TS) Construction complete, but not yet in commercial operation"
Lumina Solar Project,LU1BA,Planned,Battery,BA,160,ERCO,TX,Scurry,2/1/2025 0:00,,"(TS) Construction complete, but not yet in commercial operation"
Double Back Diamond,DBD,Operating,Solar,PV,592.8,MISO,IL,Sangamon,11/1/2024 0:00,,(OP) Operating
AVEP BESS,AVEPB,Planned,Battery,BA,126,CISO,CA,Kern,2/1/2025 0:00,,"(V) Under construction, more than 50 percent complete"
Maple Flats,65015,Operating,Solar,PV,250,MISO,IL,Clay,11/1/2024 0:00,,(OP) Operating
Chaparral Springs,CHAPS,Planned,Solar,PV,102,CISO,CA,Kern,2/1/2025 0:00,,"(V) Under construction, more than 50 percent complete"
"Kiowa County Solar Project, LLC",USKWA,Planned,Solar,PV,100,SPA,OK,Kiowa,2/1/2025 0:00,,"(U) Under construction, less than or equal to 50 percent complete"
Great Kiskadee Storage,GKDBS,Planned,Battery,BA,100,ERCO,TX,Hidalgo,2/1/2025 0:00,,"(TS) Construction complete, but not yet in commercial operation"
Caballero,CAB11,Planned,Battery,BA,99.7,CISO,CA,San Luis Obispo,2/1/2025 0:00,,"(TS) Construction complete, but not yet in commercial operation"
Electrolyte BESS,HEN,Planned,Battery,BA,99.4,CISO,CA,Kings,2/1/2025 0:00,,"(V) Under construction, more than 50 percent complete"
Acid BESS,MAL,Planned,Battery,BA,97,CISO,CA,Fresno,2/1/2025 0:00,,"(TS) Construction complete, but not yet in commercial operation"
Ashwood Solar I,AS1,Planned,Solar,PV,86,LGEE,KY,Lyon,2/1/2025 0:00,,"(V) Under construction, more than 50 percent complete"
Wythe County Solar,GEN1,Planned,Solar,PV,75,PJM,VA,Wythe,2/1/2025 0:00,,"(V) Under construction, more than 50 percent complete"
Chaparral Springs,GEN01,Planned,Solar,PV,72,CISO,CA,Kern,2/1/2025 0:00,,"(V) Under construction, more than 50 percent complete"
"Gravel Pit Solar, LLC",GPS04,Planned,Solar,PV,70,ISNE,CT,Hartford,2/1/2025 0:00,,"(TS) Construction complete, but not yet in commercial operation"
Yuma Solar + Storage,PV1,Planned,Solar,PV,70,AZPS,AZ,Yuma,2/1/2025 0:00,,"(V) Under construction, more than 50 percent complete"
Yuma Solar + Storage,BESS1,Planned,Battery,BA,67,AZPS,AZ,Yuma,2/1/2025 0:00,,"(V) Under construction, more than 50 percent complete"
"San Jacinto Grid, LLC",HESJG,Planned,Battery,BA,65,CISO,CA,Riverside,2/1/2025 0:00,,"(TS) Construction complete, but not yet in commercial operation"
Driver Solar,AKDR1,Operating,Solar,PV,150,MISO,AR,Mississippi,11/1/2024 0:00,,(OP) Operating
Chaparral Springs,CHAPB,Planned,Battery,BA,52,CISO,CA,Kern,2/1/2025 0:00,,"(V) Under construction, more than 50 percent complete"
